,Configuration,R² Score
269,Ablate Block Weight,0.5105310608737557
270,Ablate Block Weight,0.5105720349184458
271,Ablate Block Weight,0.4945002592900282
272,Ablate Block Weight,0.5027775006435822
273,Ablate Block Weight,0.5029220989614861
274,Ablate Block Weight,0.49551613431932545
275,Ablate Block Weight,0.4995652342370505
276,Ablate Block Weight,0.5037031735523219
277,Ablate Block Weight,0.5001360412354406
278,Ablate Block Weight,0.507857909989665
279,Ablate Block Weight,0.5178054615793357
280,Ablate Block Weight,0.507086805561232
281,Ablate Block Weight,0.5124658608527036
282,Ablate Block Weight,0.5060054656054997
283,Ablate Block Weight,0.526626099645788
284,Ablate Block Weight,0.5084042462353003
285,Ablate Block Weight,0.5008675867643033
286,Ablate Block Weight,0.5084043853889961
287,Ablate Block Weight,0.5152578822538357
288,Ablate Block Weight,0.5218026590899528
289,Ablate Block Weight,0.4859886429957677
290,Ablate Block Weight,0.5167947498718349
291,Ablate Block Weight,0.5095148256174773
292,Ablate Block Weight,0.509862891646197
293,Ablate Block Weight,0.5141142413986534
294,Ablate Block Weight,0.49421332073696944
295,Ablate Block Weight,0.4973480621862253
296,Ablate Block Weight,0.505616272321448
297,Ablate Block Weight,0.5156767254967137
298,Ablate Block Weight,0.4979705322037893
299,Ablate Block Weight,0.5055662922318915
300,Ablate Connect Weight,0.4935090052175066
301,Ablate Connect Weight,0.5231285705991534
302,Ablate Connect Weight,0.49821064423409267
303,Ablate Connect Weight,0.46287118206172795
304,Ablate Connect Weight,0.4805263942324154
305,Ablate Connect Weight,0.4948051907986566
306,Ablate Connect Weight,0.5162087784387309
307,Ablate Connect Weight,0.47869340833400076
308,Ablate Connect Weight,0.4992944146107223
309,Ablate Connect Weight,0.4613767276740458
310,Ablate Connect Weight,0.4706993792510246
311,Ablate Connect Weight,0.4967730446567093
312,Ablate Connect Weight,0.4927776494719927
313,Ablate Connect Weight,0.47052774055678587
314,Ablate Connect Weight,0.46699953915465137
315,Ablate Connect Weight,0.4711671037453052
316,Ablate Connect Weight,0.46541549719050657
317,Ablate Connect Weight,0.4893544070350877
318,Ablate Connect Weight,0.4687702938400232
319,Ablate Connect Weight,0.4707187618191029
320,Ablate Connect Weight,0.45845354489662815
321,Ablate Connect Weight,0.4911248299339091
322,Ablate Connect Weight,0.44904790127742117
323,Ablate Connect Weight,0.49273810384780364
324,Ablate Connect Weight,0.4810656765144788
325,Ablate Connect Weight,0.495947839952811
326,Ablate Connect Weight,0.4732053558654367
327,Ablate Connect Weight,0.46556097268411856
328,Ablate Connect Weight,0.46014649816572434
329,Ablate Connect Weight,0.4602107185861145
330,Ablate Connect Weight,0.5050822858681429
331,Ablate Connect Weight,0.46818066804151487
332,Ablate Connect Weight,0.5345603362635819
333,Ablate Connect Weight,0.47285553041687195
334,Ablate Connect Weight,0.49585967372400724
335,Ablate Connect Weight,0.47450859846679777
336,Ablate Connect Weight,0.4946970347499888
337,Ablate Connect Weight,0.4966078513257843
338,Ablate Connect Weight,0.49689823951130163
339,Ablate Connect Weight,0.49027576939807843
340,Ablate Connect Weight,0.4883382594649002
341,Ablate Connect Weight,0.46770612075482204
342,Ablate Connect Weight,0.48222879433202664
343,Ablate Connect Weight,0.4566619954895719
344,Ablate Connect Weight,0.5276491463113018
345,Ablate Connect Weight,0.4772055027954568
346,Ablate Connect Weight,0.46747106856592163
347,Ablate Connect Weight,0.470745312260179
348,Ablate Connect Weight,0.47568818164969645
349,Ablate Connect Weight,0.48539332962065856
350,Ablate Connect Weight,0.5122888875966537
351,Ablate Connect Weight,0.5090688321986314
352,Ablate Connect Weight,0.4669763378281973
353,Ablate Connect Weight,0.5183736646356777
354,Ablate Connect Weight,0.4646428464545238
355,Ablate Connect Weight,0.48692157385703566
356,Ablate Connect Weight,0.459962828148622
357,Ablate Connect Weight,0.5218575858391215
358,Ablate Connect Weight,0.4457472154324038
359,Ablate Connect Weight,0.5025006909213816
360,Ablate Connect Weight,0.5155954452000068
361,Ablate Connect Weight,0.4760025724401814
362,Ablate Connect Weight,0.4683236398521513
363,Ablate Connect Weight,0.5086331534404658
364,Ablate Connect Weight,0.48987001456241835
365,Ablate Connect Weight,0.46152501383474964
366,Ablate Connect Weight,0.48995795030515416
367,Ablate Connect Weight,0.5163310499698707
368,Ablate Connect Weight,0.4362106907252601
369,Ablate Connect Weight,0.4875718650687702
370,Ablate Connect Weight,0.4866459069452598
371,Ablate Connect Weight,0.46420703698199905
372,Ablate Connect Weight,0.45684931700271203
373,Ablate Connect Weight,0.468873858028304
374,Ablate Connect Weight,0.463084708802143
375,Ablate Connect Weight,0.5012658427357937
376,Ablate Connect Weight,0.47707218163964255
377,Ablate Connect Weight,0.4947965556790242
378,Ablate Connect Weight,0.4572155419603514
379,Ablate Connect Weight,0.4725922083428055
380,Ablate Connect Weight,0.4811000367107827
381,Ablate Connect Weight,0.491788972608697
382,Ablate Connect Weight,0.4472649817972834
383,Ablate Connect Weight,0.485326685105361
384,Ablate Connect Weight,0.5175938547589582
385,Ablate Connect Weight,0.5060717647468365
386,Ablate Connect Weight,0.45404550428980195
387,Ablate Connect Weight,0.4972181741436017
388,Ablate Connect Weight,0.5011501085075416
389,Ablate Connect Weight,0.487986853752289
390,Ablate Connect Weight,0.4597483058357633
391,Ablate Connect Weight,0.5025520409642799
392,Ablate Connect Weight,0.4871454857317572
393,Ablate Connect Weight,0.5029533202686113
394,Ablate Connect Weight,0.511716142743342
395,Ablate Connect Weight,0.46206589171485607
396,Ablate Connect Weight,0.448681423374646
397,Ablate Connect Weight,0.4512376078720667
398,Ablate Connect Weight,0.4829736934116792
399,Ablate Connect Weight,0.4930216942579549
400,Only Connect Weight,0.504635239090279
